dates,Open,High,low,close
1970-01-01,319,568,319,540
1970-01-02,660,660,660,660
1970-01-03,7,865,7,203
1970-01-04,309,936,309,739
1970-01-05,595,595,595,595
1970-01-06,620,620,293,520
1970-01-07,14,792,14,482
1970-01-08,635,635,634,634
1970-01-09,420,420,420,420
1970-01-10,730,730,730,730
1970-01-11,779,779,73,594
1970-01-12,0,501,0,496
1970-01-13,279,526,279,460
1970-01-14,362,585,362,427
1970-01-15,211,862,211,282
1970-01-16,935,935,684,828
1970-01-17,47,309,47,146
1970-01-18,175,411,6,34
1970-01-19,220,506,182,353
1970-01-20,56,172,56,79
1970-01-21,617,617,231,461
1970-01-22,445,445,445,445
1970-01-23,852,852,265,555
1970-01-24,541,541,328,450
1970-01-25,585,585,515,535
1970-01-26,757,757,757,757
1970-01-27,949,974,375,459
1970-01-28,764,764,405,742
1970-01-29,481,819,155,546
1970-01-30,785,785,293,466
1970-01-31,376,376,285,347
1970-02-01,282,282,282,282
1970-02-02,276,276,276,276
1970-02-03,899,899,109,535
1970-02-04,876,876,27,852
1970-02-05,280,821,280,814
1970-02-06,663,939,355,890
1970-02-07,688,688,603,679
1970-02-08,925,925,382,586
1970-02-09,219,278,219,276
1970-02-10,813,813,727,769
1970-02-11,371,371,371,371
1970-02-12,557,557,149,513
1970-02-13,785,785,557,601
1970-02-14,620,731,344,586
1970-02-15,879,879,83,594
1970-02-16,825,825,716,807
1970-02-17,82,923,82,746
1970-02-18,966,966,320,456
1970-02-19,39,259,39,216
1970-02-20,806,806,775,798
1970-02-21,87,617,87,317
1970-02-22,265,597,19,26
1970-02-23,751,751,751,751
1970-02-24,181,999,181,872
1970-02-25,763,763,194,535
1970-02-26,740,740,740,740
1970-02-27,868,868,273,389
1970-02-28,768,768,768,768
1970-03-01,125,756,125,265
1970-03-02,516,936,516,904
1970-03-03,356,356,356,356
1970-03-04,721,894,369,406
1970-03-05,256,570,256,539
1970-03-06,710,710,93,293
1970-03-07,578,578,398,527
1970-03-08,577,577,577,577
1970-03-09,392,392,368,372
1970-03-10,676,676,50,612
1970-03-11,576,576,279,515
1970-03-12,193,933,193,297
1970-03-13,360,360,1,120
1970-03-14,380,380,171,354
1970-03-15,78,804,78,724
1970-03-16,343,534,343,401
1970-03-17,178,255,178,228
1970-03-18,549,549,549,549
1970-03-19,444,444,437,437
1970-03-20,912,912,57,691
1970-03-21,328,366,328,355
1970-03-22,479,479,479,479
1970-03-23,500,718,74,311
1970-03-24,66,382,66,227
1970-03-25,166,865,166,189
1970-03-26,679,772,679,751
1970-03-27,315,315,315,315
1970-03-28,412,512,412,464
1970-03-29,938,938,764,781
1970-03-30,951,951,895,950
1970-03-31,705,966,83,683
1970-04-01,534,534,48,414
1970-04-02,636,815,636,732
1970-04-03,113,586,113,456
